"noteWavNames";"notenames";"expected";"expected_notenames";"date";"rownum";"session"
-45;"C,";-14;"g";"2017-09-20";"1";1
-2;"g'";-14;"g";"2017-09-20";"2";1
-14;"g";-14;"g";"2017-09-20";"3";1
-38;"G,";-12;"a";"2017-09-20";"4";1
-38;"G,";-12;"a";"2017-09-20";"5";1
-12;"a";-10;"b";"2017-09-20";"6";1
-10;"b";-10;"b";"2017-09-20";"7";1
-10;"b";-9;"c'";"2017-09-20";"8";1
-38;"G,";-9;"c'";"2017-09-20";"9";1
-9;"c'";-9;"c'";"2017-09-20";"10";1
-9;"c'";-7;"d'";"2017-09-20";"11";1
-7;"d'";-7;"d'";"2017-09-20";"12";1
-7;"d'";-7;"d'";"2017-09-20";"13";1
-7;"d'";-5;"e'";"2017-09-20";"14";1
-5;"e'";-5;"e'";"2017-09-20";"15";1
-5;"e'";-5;"e'";"2017-09-20";"16";1
-3;"f#'";-3;"f#'";"2017-09-20";"17";1
-3;"f#'";-3;"f#'";"2017-09-20";"18";1
-3;"f#'";-3;"f#'";"2017-09-20";"19";1
-2;"g'";-2;"g'";"2017-09-20";"20";1
-2;"g'";-2;"g'";"2017-09-20";"21";1
-8;"c#'";-14;"g";"2017-09-20";"1";2
-7;"d'";-14;"g";"2017-09-20";"2";2
-7;"d'";-14;"g";"2017-09-20";"3";2
-7;"d'";-12;"a";"2017-09-20";"4";2
-38;"G,";-12;"a";"2017-09-20";"5";2
-38;"G,";-10;"b";"2017-09-20";"6";2
-13;"g#";-10;"b";"2017-09-20";"7";2
-11;"a#";-9;"c'";"2017-09-20";"8";2
-11;"a#";-9;"c'";"2017-09-20";"9";2
-10;"b";-9;"c'";"2017-09-20";"10";2
-9;"c'";-7;"d'";"2017-09-20";"11";2
-9;"c'";-7;"d'";"2017-09-20";"12";2
-7;"d'";-7;"d'";"2017-09-20";"13";2
-7;"d'";-5;"e'";"2017-09-20";"14";2
-7;"d'";-5;"e'";"2017-09-20";"15";2
-5;"e'";-5;"e'";"2017-09-20";"16";2
-5;"e'";-3;"f#'";"2017-09-20";"17";2
-38;"G,";-3;"f#'";"2017-09-20";"18";2
-3;"f#'";-3;"f#'";"2017-09-20";"19";2
-3;"f#'";-2;"g'";"2017-09-20";"20";2
-3;"f#'";-2;"g'";"2017-09-20";"21";2
-78;" ";-14;"g";"2017-09-20";"1";3
-46;"B,,";-14;"g";"2017-09-20";"2";3
-38;"G,";-14;"g";"2017-09-20";"3";3
-38;"G,";-12;"a";"2017-09-20";"4";3
-38;"G,";-12;"a";"2017-09-20";"5";3
-13;"g#";-10;"b";"2017-09-20";"6";3
-13;"g#";-10;"b";"2017-09-20";"7";3
-13;"g#";-9;"c'";"2017-09-20";"8";3
-10;"b";-9;"c'";"2017-09-20";"9";3
-10;"b";-9;"c'";"2017-09-20";"10";3
-9;"c'";-7;"d'";"2017-09-20";"11";3
-9;"c'";-7;"d'";"2017-09-20";"12";3
-9;"c'";-7;"d'";"2017-09-20";"13";3
-7;"d'";-5;"e'";"2017-09-20";"14";3
-7;"d'";-5;"e'";"2017-09-20";"15";3
-7;"d'";-5;"e'";"2017-09-20";"16";3
-6;"d#'";-3;"f#'";"2017-09-20";"17";3
-5;"e'";-3;"f#'";"2017-09-20";"18";3
-3;"f#'";-3;"f#'";"2017-09-20";"19";3
-3;"f#'";-2;"g'";"2017-09-20";"20";3
-3;"f#'";-2;"g'";"2017-09-20";"21";3
-14;"g";-14;"g";"2017-09-20";"1";4
-14;"g";-14;"g";"2017-09-20";"2";4
-13;"g#";-14;"g";"2017-09-20";"3";4
-13;"g#";-12;"a";"2017-09-20";"4";4
-13;"g#";-12;"a";"2017-09-20";"5";4
-11;"a#";-10;"b";"2017-09-20";"6";4
-11;"a#";-10;"b";"2017-09-20";"7";4
-10;"b";-9;"c'";"2017-09-20";"8";4
-10;"b";-9;"c'";"2017-09-20";"9";4
-8;"c#'";-9;"c'";"2017-09-20";"10";4
-7;"d'";-7;"d'";"2017-09-20";"11";4
-7;"d'";-7;"d'";"2017-09-20";"12";4
-7;"d'";-7;"d'";"2017-09-20";"13";4
-6;"d#'";-5;"e'";"2017-09-20";"14";4
-38;"G,";-5;"e'";"2017-09-20";"15";4
-3;"f#'";-5;"e'";"2017-09-20";"16";4
-3;"f#'";-3;"f#'";"2017-09-20";"17";4
-38;"G,";-3;"f#'";"2017-09-20";"18";4
-2;"g'";-3;"f#'";"2017-09-20";"19";4
-2;"g'";-2;"g'";"2017-09-20";"20";4
-38;"G,";-2;"g'";"2017-09-20";"21";4
-43;"D,";-14;"g";"2017-09-20";"1";5
-38;"G,";-14;"g";"2017-09-20";"2";5
-14;"g";-14;"g";"2017-09-20";"3";5
-38;"G,";-12;"a";"2017-09-20";"4";5
-13;"g#";-12;"a";"2017-09-20";"5";5
-13;"g#";-10;"b";"2017-09-20";"6";5
-11;"a#";-10;"b";"2017-09-20";"7";5
-11;"a#";-9;"c'";"2017-09-20";"8";5
-11;"a#";-9;"c'";"2017-09-20";"9";5
-10;"b";-9;"c'";"2017-09-20";"10";5
-10;"b";-7;"d'";"2017-09-20";"11";5
-7;"d'";-7;"d'";"2017-09-20";"12";5
-7;"d'";-7;"d'";"2017-09-20";"13";5
-7;"d'";-5;"e'";"2017-09-20";"14";5
-6;"d#'";-5;"e'";"2017-09-20";"15";5
-6;"d#'";-5;"e'";"2017-09-20";"16";5
-38;"G,";-3;"f#'";"2017-09-20";"17";5
-4;"f'";-3;"f#'";"2017-09-20";"18";5
-4;"f'";-3;"f#'";"2017-09-20";"19";5
-38;"G,";-2;"g'";"2017-09-20";"20";5
-2;"g'";-2;"g'";"2017-09-20";"21";5
-81;" ";-14;"g";"2017-09-21";"1";6
-38;"G,";-14;"g";"2017-09-21";"2";6
-38;"G,";-14;"g";"2017-09-21";"3";6
-37;"G#,";-12;"a";"2017-09-21";"4";6
-12;"a";-12;"a";"2017-09-21";"5";6
-12;"a";-10;"b";"2017-09-21";"6";6
-10;"b";-10;"b";"2017-09-21";"7";6
-10;"b";-9;"c'";"2017-09-21";"8";6
-10;"b";-9;"c'";"2017-09-21";"9";6
-9;"c'";-9;"c'";"2017-09-21";"10";6
-7;"d'";-7;"d'";"2017-09-21";"11";6
-7;"d'";-7;"d'";"2017-09-21";"12";6
-7;"d'";-7;"d'";"2017-09-21";"13";6
-5;"e'";-5;"e'";"2017-09-21";"14";6
-5;"e'";-5;"e'";"2017-09-21";"15";6
-3;"f#'";-5;"e'";"2017-09-21";"16";6
-3;"f#'";-3;"f#'";"2017-09-21";"17";6
-3;"f#'";-3;"f#'";"2017-09-21";"18";6
-2;"g'";-3;"f#'";"2017-09-21";"19";6
-2;"g'";-2;"g'";"2017-09-21";"20";6
-2;"g'";-2;"g'";"2017-09-21";"21";6
-80;" ";-14;"g";"2017-09-21";"1";7
-38;"G,";-14;"g";"2017-09-21";"2";7
-14;"g";-14;"g";"2017-09-21";"3";7
-38;"G,";-12;"a";"2017-09-21";"4";7
-13;"g#";-12;"a";"2017-09-21";"5";7
-13;"g#";-10;"b";"2017-09-21";"6";7
-37;"G#,";-10;"b";"2017-09-21";"7";7
-10;"b";-9;"c'";"2017-09-21";"8";7
